crc32,name,filename,size,platform,region,status,alt_filenames,notes
A318E8D6,french version of G7000,bios_c52.bin,1024,BIOS,EU,not_tested,Philips C52 BIOS (19xx)(Philips)(FR).bin,
11647CA5,french version of G7400,bios_jopac.bin,1024,BIOS,EU,not_tested,,
8016A315,same as G7000 BIOS,bios_O2rom.bin,1024,BIOS,EU,not_tested,Magnavox Odyssey2 BIOS (1978)(Philips)(EU-US).bin,
E20A9F41,Videopac+ (european Odyssey3),bios_g7400.bin,1024,BIOS,EU,not_tested,,
FC5A7F08,Attack of the Timelord,o2_45.bin,4096,O2,US,not_tested,Attack of the Timelord (1983)(Philips)(US).bin,
0F870806,Computer Golf,o2_10.bin,2048,O2,US,not_tested,Computer Golf (1980)(Philips)(US).bin,
95EFA98B,Computer Intro,o2_06.bin,2048,O2,US,not_tested,Computer Intro (1980)(Philips)(US).bin,
C049E79E,Cosmic Conflict,o2_11.bin,2048,O2,US,not_tested,Cosmic Conflict (1980)(Philips)(US).bin,
DC30AD3D,Dynasty,o2_21.bin,2048,O2,US,not_tested,Dynasty (1980)(Philips)(US).bin,
AD7A9A11,Invaders from Hyperspace,o2_14.bin,2048,O2,US,not_tested,Invaders from Hyperspace (1980)(Philips)(US).bin,
7108E058,K.C.Munchkin,o2_35.bin,4096,O2,US,not_tested,K.C. Munchkin (1982)(Philips)(US).bin,
688FAD11,Keyboard Creations,o2_33.bin,2048,O2,US,not_tested,Keyboard Creations (1980)(Philips)(US).bin,
BBF276A0,Matchmaker/Buzzword/Logix,o2_07.bin,2048,O2,US,not_tested,Matchmaker + Logix + Buzzword (1980)(Philips)(US).bin,
CF2F8E7A,Nimble Numbers Ned,o2_39.bin,4096,O2,US,not_tested,Nimble Numbers Ned (1978)(Philips)(US).bin,
4A6963DE,NTSC version of Blobbers,ntsc_57.bin,8192,O2,US,not_tested,,
4A578DFE,ntsc_chez-maxime.bin,ntsc_chez-maxime.bin,4096,O2,US,not_tested,,
91A85E7C,ntsc_moto-crash.bin,ntsc_moto-crash.bin,4096,O2,US,not_tested,,
863D5E2D,ntsc_shark-hunter.bin,ntsc_shark-hunter.bin,8192,O2,US,not_tested,,
CC8BC68C,ntsc_tutankham.bin,ntsc_tutankham.bin,8192,O2,US,not_tested,,
0C2E4811,Out of this World/Helicopter Rescue,o2_19.bin,2048,O2,US,not_tested,Out of This World + Helicopter Rescue (1980)(Philips)(US).bin,
